epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.833,0.81014,1.73444,1.39021,0.24179,0.40967,0.18192,0.09493,1.47817,2.19834,1.8104,0.000475506,0.000475506,0.000475506
2,1970.68,0.80146,1.4684,1.38251,0.36486,0.66206,0.40455,0.24099,1.14756,1.61717,1.56596,0.000932993,0.000932993,0.000932993
3,2652.67,0.73326,1.3487,1.32581,0.4191,0.61469,0.47188,0.3239,1.025,1.61342,1.39956,0.00137162,0.00137162,0.00137162
4,4192.68,0.70588,1.30381,1.29906,0.48908,0.73153,0.53034,0.39847,0.88935,1.28197,1.29587,0.00134412,0.00134412,0.00134412
5,5348.09,0.65545,1.21054,1.26508,0.48806,0.76218,0.55418,0.41536,0.87588,1.16093,1.27572,0.00131582,0.00131582,0.00131582
6,7030.69,0.62141,1.18493,1.23304,0.49207,0.77845,0.56929,0.44302,0.81544,1.21251,1.18459,0.00128753,0.00128753,0.00128753
7,8377.25,0.61153,1.14141,1.22745,0.53248,0.79406,0.56666,0.42879,0.83619,1.07825,1.24503,0.00125923,0.00125923,0.00125923
8,10001.2,0.59387,1.10385,1.2137,0.52348,0.79133,0.56137,0.44699,0.78612,1.02632,1.12927,0.00123094,0.00123094,0.00123094
9,10391.4,0.61012,1.11151,1.21405,0.52466,0.79806,0.58837,0.45941,0.79649,1.01303,1.1407,0.00120265,0.00120265,0.00120265
10,10720.7,0.5888,1.07044,1.20741,0.47273,0.7811,0.56814,0.45022,0.80391,1.14617,1.15461,0.00117435,0.00117435,0.00117435
11,10938.4,0.5791,1.05989,1.20164,0.50688,0.80617,0.58387,0.47283,0.76639,1.00156,1.12227,0.00114606,0.00114606,0.00114606
12,11151.6,0.56108,1.0313,1.18922,0.5617,0.83185,0.59766,0.47856,0.76838,0.95545,1.09598,0.00111776,0.00111776,0.00111776
13,11365.6,0.55639,1.01562,1.18023,0.55095,0.82798,0.59506,0.4755,0.73569,0.93148,1.08785,0.00108947,0.00108947,0.00108947
14,11578.9,0.55108,0.9943,1.18109,0.57073,0.84142,0.60193,0.48617,0.76804,0.91117,1.13744,0.00106118,0.00106118,0.00106118
15,11792.8,0.55542,1.01918,1.17877,0.51715,0.79524,0.58907,0.46988,0.7637,1.01138,1.15827,0.00103288,0.00103288,0.00103288
16,12006.8,0.53959,0.98594,1.16954,0.54991,0.84513,0.60797,0.47809,0.76267,0.92737,1.10757,0.00100459,0.00100459,0.00100459
17,12220.7,0.53839,0.97474,1.16383,0.5716,0.81585,0.5844,0.46707,0.73768,0.88873,1.07546,0.000976293,0.000976293,0.000976293
18,12434.9,0.53723,0.98696,1.16888,0.57468,0.83394,0.60395,0.48514,0.73775,0.88837,1.08551,0.000947999,0.000947999,0.000947999
19,12649.2,0.53115,0.95219,1.15682,0.56681,0.84666,0.60014,0.48198,0.7381,0.88868,1.07424,0.000919704,0.000919704,0.000919704
20,12873.2,0.53094,0.95971,1.1549,0.5286,0.8108,0.59384,0.47805,0.74683,0.98898,1.08436,0.00089141,0.00089141,0.00089141
21,13084.1,0.52831,0.94368,1.15865,0.56201,0.83069,0.60086,0.48546,0.72422,0.9369,1.04179,0.000863116,0.000863116,0.000863116
22,13300.2,0.51701,0.93716,1.14838,0.56437,0.81918,0.60123,0.48834,0.71821,0.87063,1.04372,0.000834822,0.000834822,0.000834822
23,13519.8,0.51312,0.92575,1.14614,0.58732,0.83812,0.59665,0.49111,0.69651,0.86028,1.05001,0.000806528,0.000806528,0.000806528
24,13736,0.50902,0.92915,1.13913,0.57202,0.84113,0.61167,0.48088,0.75672,0.86868,1.07431,0.000778233,0.000778233,0.000778233
25,13952.3,0.51091,0.91064,1.13615,0.58431,0.85415,0.62247,0.49781,0.72651,0.88832,1.05359,0.000749939,0.000749939,0.000749939
26,14169,0.50076,0.89984,1.13985,0.57339,0.85248,0.61542,0.4923,0.71252,0.88066,1.04108,0.000721645,0.000721645,0.000721645
27,14385.6,0.50084,0.88701,1.14037,0.58688,0.8502,0.61334,0.50041,0.72302,0.84243,1.05063,0.000693351,0.000693351,0.000693351
28,14602.4,0.50406,0.87861,1.1394,0.58304,0.84048,0.60052,0.48666,0.70823,0.86874,1.04116,0.000665057,0.000665057,0.000665057
29,14819.4,0.49632,0.88252,1.12869,0.58855,0.84987,0.61022,0.49673,0.70045,0.86326,1.03071,0.000636762,0.000636762,0.000636762
30,15036.4,0.49613,0.87458,1.1372,0.58832,0.85587,0.59742,0.48872,0.69677,0.83939,1.03093,0.000608468,0.000608468,0.000608468
31,15253.8,0.50582,0.87836,1.13729,0.59022,0.83731,0.61779,0.50576,0.72152,0.86608,1.04686,0.000580174,0.000580174,0.000580174
32,15471.3,0.48274,0.87822,1.1269,0.59087,0.85331,0.61095,0.49727,0.72285,0.81779,1.02535,0.00055188,0.00055188,0.00055188
33,15689.3,0.49317,0.86435,1.12958,0.59754,0.83965,0.6157,0.49971,0.68786,0.82416,1.00665,0.000523586,0.000523586,0.000523586
34,15907,0.49365,0.84298,1.13049,0.59068,0.85928,0.62452,0.50825,0.69269,0.83699,1.00485,0.000495291,0.000495291,0.000495291
35,16124.8,0.47678,0.84612,1.1215,0.5807,0.85433,0.62448,0.50681,0.73082,0.84401,1.04329,0.000466997,0.000466997,0.000466997
36,16342.3,0.47316,0.8237,1.12,0.60006,0.86043,0.62703,0.52021,0.70828,0.80612,1.02309,0.000438703,0.000438703,0.000438703
37,16560.2,0.4787,0.84217,1.12145,0.59502,0.85503,0.6165,0.51272,0.69377,0.83815,1.0179,0.000410409,0.000410409,0.000410409
38,16778,0.47113,0.81177,1.11718,0.59419,0.86332,0.61343,0.49924,0.7176,0.83339,1.02829,0.000382115,0.000382115,0.000382115
39,16996,0.47208,0.80606,1.12166,0.5982,0.85002,0.61941,0.50844,0.71184,0.82447,1.0246,0.00035382,0.00035382,0.00035382
40,17214,0.47033,0.79802,1.11661,0.58761,0.86228,0.62229,0.51024,0.74072,0.85561,1.03498,0.000325526,0.000325526,0.000325526
41,17455.8,0.53085,0.72977,1.18161,0.59556,0.87012,0.62178,0.51154,0.69058,0.82937,1.00489,0.000297232,0.000297232,0.000297232
42,17672.8,0.52097,0.70964,1.17505,0.59839,0.86577,0.625,0.51102,0.71987,0.84089,1.04155,0.000268938,0.000268938,0.000268938
43,17890,0.51571,0.70405,1.17077,0.59755,0.88131,0.62221,0.50985,0.73043,0.8241,1.03935,0.000240644,0.000240644,0.000240644
44,18107.3,0.50937,0.69748,1.17025,0.59449,0.86799,0.62212,0.51476,0.70697,0.84725,1.02245,0.000212349,0.000212349,0.000212349
45,18324.9,0.50578,0.6888,1.16144,0.59123,0.86888,0.62796,0.51968,0.694,0.85273,1.01039,0.000184055,0.000184055,0.000184055
46,18542.2,0.49858,0.68207,1.15881,0.59334,0.87415,0.62817,0.51726,0.70719,0.86394,1.00867,0.000155761,0.000155761,0.000155761
47,18759.9,0.49818,0.675,1.1635,0.59684,0.8725,0.62916,0.52083,0.71421,0.85552,1.01588,0.000127467,0.000127467,0.000127467
48,18977.9,0.48926,0.67029,1.15039,0.59794,0.87276,0.62169,0.51415,0.70441,0.85278,1.01033,9.91726e-05,9.91726e-05,9.91726e-05
49,19195.9,0.48461,0.6629,1.13906,0.59927,0.87631,0.62115,0.51236,0.69189,0.85977,1.00019,7.08784e-05,7.08784e-05,7.08784e-05
50,19413.5,0.48131,0.6559,1.14007,0.59914,0.87301,0.62706,0.51878,0.7084,0.86758,1.01754,4.25842e-05,4.25842e-05,4.25842e-05
